salesforce_account_id,account_name,active_workspace_count,q4_2025_dbus,q4_2025_dollars
00161000005eObsAAE,Barclays Bank PLC,3,188393.74,17130.08
0016100001H6k8sAAB,Driver and Vehicle Licensing Agency (DVLA),32,185857.91,55094.69
0016100001H6KoNAAV,Kier Limited,37,182311.27,74419.88
00161000016w7k7AAA,Motor Insurers Bureau,11,178963.75,51009.4
0014N00001g7CmxQAE,The AA,4,177344.67,13455.23
00161000005eOhnAAE,PepsiCo,8,176119.67,39678.45
0016100001BKNnJAAX,Kantar,70,175198.23,25261.39
0016100001AUMOvAAP,Sony Electronics - GISC,6,171668.66,66026.53
001Vp00000BbBj6IAF,HIVE UNDERWRITING LIMITED,3,167857.93,24228.39
0013f0000065W5hAAE,VMED O2 UK Limited,3,166875.7,19116.88
0013f000008oynuAAA,ADSS,6,165499.88,53168.71
0013f000008p8m8AAA,Varonis,2,162952.52,30848.99
0016100001H6kBQAAZ,Howden Group Holdings,32,161802.79,43445.16
001Vp000007mWWJIA2,Vivo Energy,5,158325.94,60806.52
0018Y000032TaLbQAK,Totalmobile,6,158041.15,50961.41
0016100001TPKp4AAH,Berkeley Research Group LLC,1,155286.38,15125.57
0016100001XnY5CAAV,BSI Group,16,154808.51,23256.65
0016100001TPLKbAAP,Apax,23,152298.1,62890.26
0018Y000031EpVjQAK,OSB Group,4,150116.59,71289.87
001Vp00000HlLiOIAV,pmmacro.com,2,149860.66,53919.22
0016100001Xnas3AAB,North Atlantic Treaty Organization (NATO),7,148077.4,46592.95
0014N000025i1CdQAI,Graphnet Health,10,146105.25,38992.48
0013f000004QQXtAAO,Quilter,4,145304.86,75784.89
001Vp000004sYnCIAU,CFC,42,144391.36,50120.51
0016100001XnYSpAAN,Everest,4,140990.58,12540.18
0016100001YhawrAAB,Grupo Bimbo,9,140178.88,39885.06
0013f0000042uX5AAI,CKHH Group,40,137713.62,38439.34
0014N00001g7sOjQAI,Two Circles Limited,8,137267.22,55908.28
0016100001QeO2TAAV,StoneX Group Inc.,31,135558.11,1009.19
0013f000005RTt0AAG,Phoenix Group Holdings PLC,17,131920.69,64214.85
0013f000009eUNaAAM,Leeds Building Society,5,127568.01,15610.15
0013f000005T3PBAA0,AB Agri,17,126285.54,40713.14
0018Y00002kx8rRQAQ,Herbert Smith Freehills Kramer LLP,6,125367.08,43548.09
0018Y00002fp8WDQAY,Petroineos Trading Limited,4,125044.79,31786.34
0016100001H6kF0AAJ,Harbour Energy,4,122877.14,51608.88
00161000005eOkTAAU,Mars Information Services,66,122774.74,22314.91
0014N000020qc5VQAQ,Marex Group PLC,19,122429.31,62551.39
0013f000003oaE2AAI,Greggs PLC,9,120204.44,51578.93
0014N00001nfDjRQAU,Animal Friends,7,117783.74,51283.74
00161000016wX1sAAE,Bank of England,47,116866.99,36029.94
0018Y00002kxAIGQA2,Mizuho International PLC(UK),3,113581.04,35317.41
0018Y00002nHxyoQAC,Haleon,31,112691.68,33855.68
0014N00001nfkJkQAI,Ruffer,3,112041.44,41617.92
0016100001TPLCSAA5,CRA International,3,111482.04,119.21
0014N000025gUs6QAE,PureGym,6,111345.79,21462.27
0016100001F1bHKAAZ,Metropolitan Police Service (Met Police),3,109668.32,47662.76
0014N000027QsIVQA0,Cabot Financial,13,108883.02,38843.51
0016100000U5DlKAAV,CDW Corporation,9,107796.44,32823.77
0016100001H5p3qAAB,Celonis SE,1,103657.92,30569.16
001Vp000003fD6NIAU,Glow Services Corp,3,102182.77,2808.69
0016100001fRt1pAAC,Brit Group Services,60,101975.74,25850.31
0013f000009dq1SAAQ,Sciensus,10,101740.81,18591.11
001Vp0000038xKeIAI,ACTIVEOPS PLC,11,101473.78,33201.68
None,,770,98748.53,0.0
0014N00001g8nUGQAY,EY UK,7,97632.22,16810.31
0016100001BItFqAAL,HomeServe Membership Limited,11,96296.81,33517.86
0016100000U5Dp2AAF,UnitedHealth Group (UHG),17,94862.06,23603.67
001Vp000008QnACIA0,Bell Rock Capital Management LLP,1,93486.84,45238.39
0013f0000063eBGAAY,Hitachi Rail Ltd UK,10,93125.12,36761.08
0016100001H6k7IAAR,BioCatch,3,90390.39,8407.15
00161000005eOdvAAE,PWC (HQ),33,87885.51,25667.93
0016100001H4PLfAAN,Department for Work and Pensions (DWP),8,87216.36,33012.44
0013f000008oSvaAAE,Ascot Group,4,87183.16,28087.77
0016100001fQQO5AAO,Ministry of Housing  Communities and Local Government (MHCLG),12,85650.49,13113.23
0018Y00003492rYQAQ,IQUW Syndicate Management Limited,9,85219.34,15403.87
0013f0000042iKHAAY,Avanade NL,43,85117.78,11466.13
